"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7508570494978,0.011782885785494,0.509660497759063,-12.7833497114264,-12.0819391423799,-11.7394239636086,-11.4064154209079,-10.780681221902,1870.9346236062,1.00165060944834,"alpha_st[1,1]"
-11.96090276448,0.0110447678387715,0.453684065912346,-12.8916260170323,-12.2524084331775,-11.9478822087415,-11.64544084803,-11.0975511862283,1687.30607449439,1.0026195153815,"alpha_st[1,2]"
-12.0895185660996,0.0102695723770347,0.433844307490708,-12.9751958225299,-12.3744935730901,-12.0778866626498,-11.7888414143987,-11.2785911706063,1784.69121859015,1.00333375214833,"alpha_st[1,3]"
-12.1529471310021,0.00924798381738311,0.42339270003285,-13.0335070999168,-12.4271947428533,-12.1414793878556,-11.860478396198,-11.360967864773,2096.00642404818,1.00255984780788,"alpha_st[1,4]"
-12.1493074071132,0.00863395177212892,0.415111755098644,-12.9915134413631,-12.4230044859515,-12.1458365514307,-11.8654764039155,-11.3499134834297,2311.59010564364,1.00135723199844,"alpha_st[1,5]"
-11.9254859477897,0.00778851738379732,0.389718442279526,-12.7072769651048,-12.1831619755504,-11.9167057842206,-11.659709450526,-11.1795407423369,2503.7578781603,1.00043658065136,"alpha_st[1,6]"
-11.408258608298,0.00657497806618191,0.347353456316791,-12.1102312798096,-11.6350841814442,-11.3993003711227,-11.1730789630541,-10.7615615105887,2790.96655696157,0.999832895106925,"alpha_st[1,7]"
-11.0160358753644,0.00609895199455924,0.316822946459054,-11.6519405232984,-11.2266205510169,-11.0093410246922,-10.7966818587492,-10.4244962614199,2698.50251523965,1.00189755779906,"alpha_st[1,8]"
-10.7696252755689,0.00552058239325765,0.297397617333114,-11.3605533425973,-10.9653894283388,-10.766059426671,-10.5716974982647,-10.1987118148069,2902.05191646668,1.00190695980559,"alpha_st[1,9]"
-10.8049887170801,0.00525856411587771,0.299419084403664,-11.3887535475161,-11.0027865167992,-10.8084047655413,-10.5997867035837,-10.2317230223325,3242.08658368405,1.00276008267334,"alpha_st[1,10]"
