"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.0714168293616,0.00328267156122612,0.346633498800112,-10.7592234912947,-10.3066234042068,-10.0643353460196,-9.83215617443985,-9.40990584807225,11150.2908551851,0.999770522777303,"alpha_st[1,1]"
-9.40545038944248,0.00247183240244203,0.228579575937449,-9.85302163156301,-9.55821200369072,-9.40422471374287,-9.24984527622199,-8.96200871557861,8551.3917688237,0.999756463942473,"alpha_st[1,2]"
-10.1461812569341,0.00300592824576885,0.271536955570968,-10.6799727185968,-10.3291844190859,-10.1431701653074,-9.9622539806863,-9.61631760994815,8160.19750223067,0.999837391698353,"alpha_st[1,3]"
-11.0500889428979,0.00429108189810079,0.33819888258311,-11.7303182058805,-11.273661116731,-11.04580827548,-10.819233875629,-10.4050770405264,6211.70367563376,1.00008503802328,"alpha_st[1,4]"
-11.513881131752,0.00523234533166743,0.369894067968851,-12.2506018868745,-11.7586323407513,-11.5062587632093,-11.2643852406479,-10.8123900375889,4997.60507789825,1.00058379984888,"alpha_st[1,5]"
-11.5716000464626,0.00486838026201316,0.37154996765982,-12.3061477092863,-11.819679865185,-11.5662136684878,-11.3143438742149,-10.8707700835516,5824.59146795529,0.999807137639317,"alpha_st[1,6]"
-11.2289917471927,0.00429454575546594,0.338675120105834,-11.9099780310393,-11.4579902936887,-11.2275640452594,-10.9960474760121,-10.5837517600441,6219.16556377621,0.99995964126392,"alpha_st[1,7]"
-10.9276820296145,0.0038084970939699,0.310706876114841,-11.5428618882174,-11.134719667249,-10.9219196442072,-10.7135502532005,-10.3362717144268,6655.7112444023,1.0001598960053,"alpha_st[1,8]"
-10.7390203970783,0.00344051317274766,0.294989443073731,-11.3298613183366,-10.9347953515463,-10.7386700564574,-10.5349731357618,-10.1761856494421,7351.33980691738,0.999912185763663,"alpha_st[1,9]"
-10.782978766658,0.00324282113345269,0.300094130085561,-11.3727064134323,-10.9796970822944,-10.7817314323211,-10.5807348291212,-10.2058144502065,8563.84921309494,0.999873627913161,"alpha_st[1,10]"
-10.5146725397287,0.00314038245380561,0.276820310488181,-11.0756393851986,-10.699158010275,-10.5113349904191,-10.3247585799947,-9.9873231410094,7770.17532944514,1.00013710315307,"alpha_st[1,11]"
-11.3020641581597,0.0041668188379333,0.335683132630721,-11.9804660267888,-11.5263470050154,-11.2912760847516,-11.074100407507,-10.6534096431349,6490.07627653017,0.999837016590351,"alpha_st[1,12]"
-11.6320197024837,0.00478643629544654,0.365135007724258,-12.3511558102354,-11.8733092825603,-11.6240003739514,-11.3816420330085,-10.9366278359664,5819.45588923792,0.999831594093221,"alpha_st[1,13]"
-11.656771212001,0.00498432204697812,0.384074898597021,-12.4317479091276,-11.9115156836919,-11.6494988981541,-11.3895411479184,-10.9343993500039,5937.71924340388,1.00005149441267,"alpha_st[1,14]"
