"state","year","age","population"
"AC",2043,35,177147
"AC",2043,45,148083
"AC",2043,55,118924
"AC",2043,65,77033
"AC",2043,75,45648
"AC",2043,90,5373
"AC",2044,25,163291
"AC",2044,35,176935
"AC",2044,45,151552
"AC",2044,55,120521
"AC",2044,65,80082
"AC",2044,75,47721
"AC",2044,90,5670
"AC",2045,25,163326
"AC",2045,35,175282
"AC",2045,45,154974
"AC",2045,55,122050
"AC",2045,65,83188
"AC",2045,75,49811
"AC",2045,90,5978
"AC",2046,25,163094
"AC",2046,35,173510
"AC",2046,45,158473
"AC",2046,55,123520
"AC",2046,65,86345
"AC",2046,75,51924
"AC",2046,90,6296
"AC",2047,25,162412
"AC",2047,35,172023
"AC",2047,45,161863
"AC",2047,55,124889
"AC",2047,65,89574
"AC",2047,75,54042
"AC",2047,90,6629
"AC",2048,25,162212
"AC",2048,35,170033
"AC",2048,45,164922
"AC",2048,55,126326
"AC",2048,65,92735
"AC",2048,75,56214
"AC",2048,90,6972
"AC",2049,25,161624
"AC",2049,35,168759
"AC",2049,45,167182
"AC",2049,55,128042
"AC",2049,65,95642
"AC",2049,75,58519
"AC",2049,90,7321
"AC",2050,25,160768
"AC",2050,35,167423
"AC",2050,45,169207
"AC",2050,55,130181
"AC",2050,65,98173
"AC",2050,75,61011
"AC",2050,90,7669
"AC",2051,25,160653
"AC",2051,35,165203
"AC",2051,45,170835
"AC",2051,55,132699
"AC",2051,65,100356
"AC",2051,75,63660
"AC",2051,90,8016
"AC",2052,25,160553
"AC",2052,35,163251
"AC",2052,45,171641
"AC",2052,55,135626
"AC",2052,65,102177
"AC",2052,75,66455
"AC",2052,90,8366
"AC",2053,25,159825
"AC",2053,35,161767
"AC",2053,45,172144
"AC",2053,55,138834
"AC",2053,65,103733
"AC",2053,75,69344
"AC",2053,90,8728
"AC",2054,25,159080
"AC",2054,35,160639
"AC",2054,45,171946
"AC",2054,55,142127
"AC",2054,65,105128
"AC",2054,75,72282
"AC",2054,90,9124
"AC",2055,25,158303
"AC",2055,35,160683
"AC",2055,45,170340
"AC",2055,55,145357
"AC",2055,65,106483
"AC",2055,75,75198
"AC",2055,90,9561
"AC",2056,25,157466
"AC",2056,35,160471
"AC",2056,45,168625
"AC",2056,55,148658
"AC",2056,65,107794
"AC",2056,75,78101
"AC",2056,90,10030
"AC",2057,25,156570
"AC",2057,35,159806
"AC",2057,45,167196
"AC",2057,55,151846
"AC",2057,65,109023
"AC",2057,75,80994
"AC",2057,90,10543
"AC",2058,25,155606
"AC",2058,35,159615
"AC",2058,45,165275
"AC",2058,55,154714
"AC",2058,65,110323
"AC",2058,75,83820
"AC",2058,90,11072
"AC",2059,25,154604
"AC",2059,35,159045
"AC",2059,45,164049
"AC",2059,55,156822
"AC",2059,65,111866
"AC",2059,75,86506
"AC",2059,90,11608
"AC",2060,25,153577
"AC",2060,35,158214
"AC",2060,45,162762
"AC",2060,55,158716
"AC",2060,65,113793
"AC",2060,75,89002
"AC",2060,90,12135
"AL",2010,25,525573
"AL",2010,35,410545
"AL",2010,45,299343
"AL",2010,55,203300
"AL",2010,65,118556
"AL",2010,75,63903
"AL",2010,90,7869
"AL",2011,25,529621
"AL",2011,35,417748
"AL",2011,45,308118
"AL",2011,55,209025
"AL",2011,65,122312
"AL",2011,75,65889
"AL",2011,90,7451
"AL",2012,25,532125
"AL",2012,35,425000
"AL",2012,45,317480
"AL",2012,55,214735
"AL",2012,65,126231
"AL",2012,75,67971
"AL",2012,90,7309
"AL",2013,25,533353
"AL",2013,35,432439
"AL",2013,45,327059
"AL",2013,55,220515
"AL",2013,65,130345
"AL",2013,75,70181
"AL",2013,90,7327
"AL",2014,25,533775
"AL",2014,35,440235
"AL",2014,45,336297
"AL",2014,55,226482
"AL",2014,65,134699
"AL",2014,75,72505
"AL",2014,90,7430
"AL",2015,25,533697
"AL",2015,35,448460
"AL",2015,45,344861
"AL",2015,55,232724
"AL",2015,65,139306
"AL",2015,75,74940
"AL",2015,90,7568
"AL",2016,25,533425
"AL",2016,35,456933
"AL",2016,45,352816
"AL",2016,55,239194
"AL",2016,65,144147
"AL",2016,75,77529
"AL",2016,90,7745
"AL",2017,25,533210
"AL",2017,35,465555
"AL",2017,45,360133
"AL",2017,55,245833
"AL",2017,65,149212
"AL",2017,75,80303
"AL",2017,90,7965
"AL",2018,25,533413
"AL",2018,35,473890
"AL",2018,45,367061
"AL",2018,55,252770
"AL",2018,65,154429
"AL",2018,75,83284
"AL",2018,90,8212
"AL",2019,25,534559
"AL",2019,35,481277
"AL",2019,45,374012
"AL",2019,55,260201
"AL",2019,65,159703
"AL",2019,75,86485
"AL",2019,90,8474
"AL",2020,25,536903
"AL",2020,35,487290
"AL",2020,45,381271
"AL",2020,55,268215
"AL",2020,65,164989
"AL",2020,75,89913
"AL",2020,90,8742
"AL",2021,25,540605
"AL",2021,35,491928
"AL",2021,45,388698
"AL",2021,55,276758
"AL",2021,65,170288
"AL",2021,75,93582
"AL",2021,90,9036
"AL",2022,25,545971
"AL",2022,35,495070
"AL",2022,45,396197
"AL",2022,55,285854
"AL",2022,65,175602
"AL",2022,75,97490
"AL",2022,90,9376
"AL",2023,25,552165
"AL",2023,35,496976
