"state","year","age","population"
"DF",2043,90,31864
"DF",2044,25,468118
"DF",2044,35,528692
"DF",2044,45,524506
"DF",2044,55,520526
"DF",2044,65,392978
"DF",2044,75,272824
"DF",2044,90,33961
"DF",2045,25,469811
"DF",2045,35,521407
"DF",2045,45,526118
"DF",2045,55,519278
"DF",2045,65,405710
"DF",2045,75,283564
"DF",2045,90,36110
"DF",2046,25,472075
"DF",2046,35,512243
"DF",2046,45,529403
"DF",2046,55,516761
"DF",2046,65,418422
"DF",2046,75,294152
"DF",2046,90,38313
"DF",2047,25,474572
"DF",2047,35,503763
"DF",2047,45,532143
"DF",2047,55,512898
"DF",2047,65,431175
"DF",2047,75,304537
"DF",2047,90,40575
"DF",2048,25,476341
"DF",2048,35,496423
"DF",2048,45,534413
"DF",2048,55,508554
"DF",2048,65,443195
"DF",2048,75,314964
"DF",2048,90,42920
"DF",2049,25,476500
"DF",2049,35,490996
"DF",2049,45,535782
"DF",2049,55,504887
"DF",2049,65,453383
"DF",2049,75,325850
"DF",2049,90,45382
"DF",2050,25,475422
"DF",2050,35,486501
"DF",2050,45,536478
"DF",2050,55,502698
"DF",2050,65,461071
"DF",2050,75,337389
"DF",2050,90,47993
"DF",2051,25,474869
"DF",2051,35,481515
"DF",2051,45,536395
"DF",2051,55,501616
"DF",2051,65,466509
"DF",2051,75,349486
"DF",2051,90,50727
"DF",2052,25,474310
"DF",2052,35,478336
"DF",2052,45,533926
"DF",2052,55,501381
"DF",2052,65,469862
"DF",2052,75,362061
"DF",2052,90,53586
"DF",2053,25,472605
"DF",2053,35,477723
"DF",2053,45,529448
"DF",2053,55,501969
"DF",2053,65,471322
"DF",2053,75,374930
"DF",2053,90,56540
"DF",2054,25,470685
"DF",2054,35,478255
"DF",2054,45,523609
"DF",2054,55,503168
"DF",2054,65,471302
"DF",2054,75,387807
"DF",2054,90,59534
"DF",2055,25,468536
"DF",2055,35,479967
"DF",2055,45,516474
"DF",2055,55,504799
"DF",2055,65,470147
"DF",2055,75,400452
"DF",2055,90,62538
"DF",2056,25,466143
"DF",2056,35,482237
"DF",2056,45,507509
"DF",2056,55,508034
"DF",2056,65,467870
"DF",2056,75,412846
"DF",2056,90,65568
"DF",2057,25,463523
"DF",2057,35,484735
"DF",2057,45,499212
"DF",2057,55,510702
"DF",2057,65,464418
"DF",2057,75,424992
"DF",2057,90,68647
"DF",2058,25,460748
"DF",2058,35,486514
"DF",2058,45,492042
"DF",2058,55,512898
"DF",2058,65,460575
"DF",2058,75,436516
"DF",2058,90,71727
"DF",2059,25,457870
"DF",2059,35,486691
"DF",2059,45,486764
"DF",2059,55,514217
"DF",2059,65,457381
"DF",2059,75,446957
"DF",2059,90,74734
"DF",2060,25,454897
"DF",2060,35,485647
"DF",2060,45,482414
"DF",2060,55,514903
"DF",2060,65,455541
"DF",2060,75,455982
"DF",2060,90,77656
"ES",2010,25,630526
"ES",2010,35,510439
"ES",2010,45,432750
"ES",2010,55,279150
"ES",2010,65,151985
"ES",2010,75,93060
"ES",2010,90,7835
"ES",2011,25,641367
"ES",2011,35,519368
"ES",2011,45,442493
"ES",2011,55,294059
"ES",2011,65,157387
"ES",2011,75,97508
"ES",2011,90,8309
"ES",2012,25,650327
"ES",2012,35,529762
"ES",2012,45,451571
"ES",2012,55,309257
"ES",2012,65,163270
"ES",2012,75,101871
"ES",2012,90,9092
"ES",2013,25,657293
"ES",2013,35,541491
"ES",2013,45,459933
"ES",2013,55,324437
"ES",2013,65,169905
"ES",2013,75,106177
"ES",2013,90,10061
"ES",2014,25,662210
"ES",2014,35,554294
"ES",2014,45,467482
"ES",2014,55,339208
"ES",2014,65,177652
"ES",2014,75,110397
"ES",2014,90,11129
"ES",2015,25,665116
"ES",2015,35,567902
"ES",2015,45,474237
"ES",2015,55,353306
"ES",2015,65,186706
"ES",2015,75,114544
"ES",2015,90,12227
"ES",2016,25,665907
"ES",2016,35,582273
"ES",2016,45,480285
"ES",2016,55,366685
"ES",2016,65,196966
"ES",2016,75,118720
"ES",2016,90,13364
"ES",2017,25,664391
"ES",2017,35,597418
"ES",2017,45,485583
"ES",2017,55,379278
"ES",2017,65,208381
"ES",2017,75,123000
"ES",2017,90,14552
"ES",2018,25,661310
"ES",2018,35,612607
"ES",2018,45,490791
"ES",2018,55,391080
"ES",2018,65,220731
"ES",2018,75,127492
"ES",2018,90,15757
"ES",2019,25,657762
"ES",2019,35,626792
"ES",2019,45,496880
"ES",2019,55,402143
"ES",2019,65,233687
"ES",2019,75,132329
"ES",2019,90,16960
"ES",2020,25,654492
"ES",2020,35,639271
"ES",2020,45,504467
"ES",2020,55,412489
"ES",2020,65,246998
"ES",2020,75,137620
"ES",2020,90,18140
"ES",2021,25,651441
"ES",2021,35,649990
"ES",2021,45,513473
"ES",2021,55,422126
"ES",2021,65,260620
"ES",2021,75,143381
"ES",2021,90,19332
"ES",2022,25,648672
"ES",2022,35,658846
"ES",2022,45,523891
"ES",2022,55,431139
"ES",2022,65,274490
"ES",2022,75,149596
"ES",2022,90,20573
"ES",2023,25,646129
"ES",2023,35,665739
"ES",2023,45,535596
"ES",2023,55,439458
"ES",2023,65,288335
"ES",2023,75,156435
"ES",2023,90,21850
"ES",2024,25,643612
"ES",2024,35,670593
"ES",2024,45,548317
"ES",2024,55,447005
"ES",2024,65,301829
"ES",2024,75,164092
"ES",2024,90,23147
"ES",2025,25,640951
"ES",2025,35,673455
"ES",2025,45,561806
"ES",2025,55,453766
"ES",2025,65,314745
"ES",2025,75,172677
"ES",2025,90,24460
"ES",2026,25,638975
"ES",2026,35,674217
"ES",2026,45,576014
"ES",2026,55,459851
"ES",2026,65,327027
"ES",2026,75,182156
"ES",2026,90,25817
"ES",2027,25,636119
"ES",2027,35,672682
"ES",2027,45,590946
"ES",2027,55,465209
"ES",2027,65,338641
"ES",2027,75,192514
"ES",2027,90,27248
"ES",2028,25,633485
"ES",2028,35,669587
"ES",2028,45,605902
"ES",2028,55,470468
"ES",2028,65,349562
"ES",2028,75,203656
"ES",2028,90,28714
"ES",2029,25,630304
"ES",2029,35,666019
"ES",2029,45,619863
"ES",2029,55,476572
"ES",2029,65,359810
"ES",2029,75,215438
"ES",2029,90,30171
"ES",2030,25,625580
"ES",2030,35,662706
"ES",2030,45,632157
"ES",2030,55,484094
"ES",2030,65,369412
"ES",2030,75,227731
"ES",2030,90,31593
"ES",2031,25,619288
"ES",2031,35,659611
"ES",2031,45,642735
"ES",2031,55,492973
"ES",2031,65,378367
"ES",2031,75,240483
"ES",2031,90,33032
"ES",2032,25,611398
"ES",2032,35,656806
"ES",2032,45,651500
"ES",2032,55,503207
"ES",2032,65,386769
"ES",2032,75,253611
"ES",2032,90,34523
"ES",2033,25,603906
"ES",2033,35,654228
"ES",2033,45,658356
"ES",2033,55,514670
"ES",2033,65,394543
"ES",2033,75,266982
"ES",2033,90,36088
"ES",2034,25,597286
"ES",2034,35,651694
"ES",2034,45,663219
"ES",2034,55,527082
"ES",2034,65,401616
"ES",2034,75,280428
"ES",2034,90,37769
"ES",2035,25,591558
"ES",2035,35,649023
"ES",2035,45,666136
"ES",2035,55,540205
"ES",2035,65,407967
"ES",2035,75,293800
"ES",2035,90,39601
"ES",2036,25,587195
"ES",2036,35,647050
"ES",2036,45,666997
"ES",2036,55,553987
"ES",2036,65,413708
"ES",2036,75,307031
"ES",2036,90,41589
"ES",2037,25,585544
"ES",2037,35,644222
"ES",2037,45,665619
"ES",2037,55,568427
"ES",2037,65,418795
"ES",2037,75,320104
"ES",2037,90,43730
"ES",2038,25,585080
"ES",2038,35,641630
"ES",2038,45,662725
"ES",2038,55,582870
"ES",2038,65,423805
"ES",2038,75,332828
"ES",2038,90,46087
"ES",2039,25,586352
"ES",2039,35,638535
"ES",2039,45,659375
"ES",2039,55,596357
"ES",2039,65,429599
"ES",2039,75,345011
"ES",2039,90,48717
"ES",2040,25,589407
"ES",2040,35,633945
"ES",2040,45,656298
"ES",2040,55,608254
"ES",2040,65,436716
"ES",2040,75,356513
"ES",2040,90,51647
"ES",2041,25,592068
"ES",2041,35,627817
"ES",2041,45,653447
"ES",2041,55,618517
"ES",2041,65,445077
"ES",2041,75,367374
"ES",2041,90,54859
"ES",2042,25,595709
"ES",2042,35,620101
"ES",2042,45,650874
"ES",2042,55,627051
"ES",2042,65,454691
"ES",2042,75,377647
"ES",2042,90,58340
"ES",2043,25,600455
"ES",2043,35,612782
"ES",2043,45,648518
"ES",2043,55,633751
"ES",2043,65,465411
"ES",2043,75,387271
"ES",2043,90,62022
"ES",2044,25,604745
"ES",2044,35,606316
"ES",2044,45,646194
"ES",2044,55,638528
"ES",2044,65,476955
"ES",2044,75,396185
"ES",2044,90,65825
"ES",2045,25,608966
"ES",2045,35,600735
"ES",2045,45,643707
"ES",2045,55,641433
"ES",2045,65,489068
"ES",2045,75,404379
"ES",2045,90,69683
"ES",2046,25,611869
"ES",2046,35,596495
"ES",2046,45,641894
"ES",2046,55,642354
"ES",2046,65,501713
"ES",2046,75,411916
"ES",2046,90,73608
"ES",2047,25,613803
"ES",2047,35,594934
"ES",2047,45,639202
"ES",2047,55,641125
"ES",2047,65,514873
"ES",2047,75,418798
"ES",2047,90,77584
"ES",2048,25,614621
"ES",2048,35,594544
"ES",2048,45,636728
"ES",2048,55,638444
"ES",2048,65,527963
"ES",2048,75,425483
"ES",2048,90,81567
"ES",2049,25,613686
"ES",2049,35,595873
"ES",2049,45,633751
"ES",2049,55,635341
"ES",2049,65,540153
"ES",2049,75,432648
"ES",2049,90,85523
"ES",2050,25,611380
"ES",2050,35,598960
"ES",2050,45,629313
"ES",2050,55,632508
"ES",2050,65,550902
"ES",2050,75,440711
"ES",2050,90,89413
"ES",2051,25,610048
"ES",2051,35,601651
"ES",2051,45,623360
"ES",2051,55,629918
"ES",2051,65,560172
"ES",2051,75,449635
"ES",2051,90,93234
"ES",2052,25,608371
"ES",2052,35,605308
"ES",2052,45,615857
"ES",2052,55,627597
"ES",2052,65,567894
"ES",2052,75,459468
"ES",2052,90,96996
"ES",2053,25,604703
"ES",2053,35,610057
"ES",2053,45,608753
"ES",2053,55,625501
"ES",2053,65,573956
"ES",2053,75,470015
"ES",2053,90,100657
"ES",2054,25,600886
"ES",2054,35,614346
"ES",2054,45,602486
"ES",2054,55,623413
"ES",2054,65,578275
"ES",2054,75,480956
"ES",2054,90,104177
"ES",2055,25,597000
"ES",2055,35,618564
"ES",2055,45,597074
"ES",2055,55,621146
"ES",2055,65,580868
"ES",2055,75,492040
"ES",2055,90,107523
"ES",2056,25,593089
"ES",2056,35,621475
"ES",2056,45,592997
"ES",2056,55,619488
"ES",2056,65,581655
"ES",2056,75,503258
"ES",2056,90,110735
"ES",2057,25,589241
"ES",2057,35,623414
"ES",2057,45,591537
"ES",2057,55,616931
"ES",2057,65,580491
"ES",2057,75,514554
"ES",2057,90,113844
"ES",2058,25,585532
"ES",2058,35,624255
"ES",2058,45,591217
"ES",2058,55,614563
"ES",2058,65,578034
"ES",2058,75,525801
"ES",2058,90,116814
"ES",2059,25,581979
"ES",2059,35,623349
"ES",2059,45,592596
"ES",2059,55,611713
"ES",2059,65,575237
"ES",2059,75,536896
"ES",2059,90,119586
"ES",2060,25,578643
"ES",2060,35,621092
"ES",2060,45,595691
"ES",2060,55,607462
"ES",2060,65,572738
"ES",2060,75,547701
"ES",2060,90,122159
"GO",2010,25,1102820
"GO",2010,35,916220
"GO",2010,45,685762
"GO",2010,55,433610
"GO",2010,65,245383
"GO",2010,75,125119
"GO",2010,90,10099
"GO",2011,25,1121089
"GO",2011,35,938578
"GO",2011,45,710912
"GO",2011,55,452877
"GO",2011,65,254688
"GO",2011,75,131655
"GO",2011,90,10289
"GO",2012,25,1137099
"GO",2012,35,961515
"GO",2012,45,736131
"GO",2012,55,472708
"GO",2012,65,264369
"GO",2012,75,138543
"GO",2012,90,10737
"GO",2013,25,1151041
"GO",2013,35,984870
"GO",2013,45,761056
"GO",2013,55,493107
"GO",2013,65,274652
"GO",2013,75,145634
"GO",2013,90,11338
"GO",2014,25,1163287
"GO",2014,35,1008377
"GO",2014,45,785147
"GO",2014,55,514113
"GO",2014,65,285827
"GO",2014,75,152692
"GO",2014,90,12017
"GO",2015,25,1174166
"GO",2015,35,1031768
"GO",2015,45,808111
"GO",2015,55,535709
"GO",2015,65,298052
"GO",2015,75,159606
"GO",2015,90,12720
"GO",2016,25,1183077
"GO",2016,35,1055156
"GO",2016,45,829982
"GO",2016,55,557828
"GO",2016,65,311244
"GO",2016,75,166518
"GO",2016,90,13468
"GO",2017,25,1189365
"GO",2017,35,1078709
"GO",2017,45,850649
"GO",2017,55,580395
"GO",2017,65,325358
"GO",2017,75,173529
"GO",2017,90,14281
"GO",2018,25,1193824
"GO",2018,35,1101728
"GO",2018,45,870630
"GO",2018,55,603326
"GO",2018,65,340300
"GO",2018,75,180741
"GO",2018,90,15132
"GO",2019,25,1197580
"GO",2019,35,1123198
"GO",2019,45,890793
"GO",2019,55,626512
"GO",2019,65,355899
"GO",2019,75,188330
"GO",2019,90,16004
"GO",2020,25,1201342
"GO",2020,35,1142477
"GO",2020,45,911647
"GO",2020,55,649860
"GO",2020,65,372045
"GO",2020,75,196403
"GO",2020,90,16878
"GO",2021,25,1204832
"GO",2021,35,1159597
"GO",2021,45,933104
"GO",2021,55,673310
"GO",2021,65,388742
"GO",2021,75,204992
"GO",2021,90,17797
"GO",2022,25,1207921
"GO",2022,35,1174514
"GO",2022,45,955153
"GO",2022,55,696846
"GO",2022,65,405969
"GO",2022,75,214165
"GO",2022,90,18792
"GO",2023,25,1210173
"GO",2023,35,1187423
"GO",2023,45,977620
"GO",2023,55,720136
"GO",2023,65,423707
"GO",2023,75,223903
"GO",2023,90,19867
"GO",2024,25,1210771
"GO",2024,35,1198681
"GO",2024,45,1000240
"GO",2024,55,742663
"GO",2024,65,442000
"GO",2024,75,234166
"GO",2024,90,21045
"GO",2025,25,1209193
"GO",2025,35,1208599
"GO",2025,45,1022737
"GO",2025,55,764163
"GO",2025,65,460822
"GO",2025,75,244955
"GO",2025,90,22316
"GO",2026,25,1203419
"GO",2026,35,1216602
"GO",2026,45,1045215
"GO",2026,55,784663
"GO",2026,65,480128
"GO",2026,75,256294
"GO",2026,90,23700
"GO",2027,25,1198881
"GO",2027,35,1222036
"GO",2027,45,1067848
"GO",2027,55,804064
"GO",2027,65,499853
"GO",2027,75,268213
"GO",2027,90,25226
"GO",2028,25,1194230
"GO",2028,35,1225681
"GO",2028,45,1089958
"GO",2028,55,822859
"GO",2028,65,519919
"GO",2028,75,280765
"GO",2028,90,26816
"GO",2029,25,1187405
"GO",2029,35,1228640
"GO",2029,45,1110567
"GO",2029,55,841875
"GO",2029,65,540234
"GO",2029,75,294010
"GO",2029,90,28389
"GO",2030,25,1178673
"GO",2030,35,1231609
"GO",2030,45,1129075
"GO",2030,55,861577
"GO",2030,65,560711
"GO",2030,75,307975
"GO",2030,90,29898
"GO",2031,25,1168668
"GO",2031,35,1234347
"GO",2031,45,1145518
"GO",2031,55,881909
"GO",2031,65,581303
"GO",2031,75,322645
"GO",2031,90,31414
"GO",2032,25,1156167
"GO",2032,35,1236763
"GO",2032,45,1159895
"GO",2032,55,902859
"GO",2032,65,602021
"GO",2032,75,338045
"GO",2032,90,32970
"GO",2033,25,1144131
"GO",2033,35,1238426
"GO",2033,45,1172372
"GO",2033,55,924257
"GO",2033,65,622559
"GO",2033,75,354108
"GO",2033,90,34606
"GO",2034,25,1133906
"GO",2034,35,1238552
"GO",2034,45,1183304
"GO",2034,55,945804
"GO",2034,65,642474
"GO",2034,75,370800
"GO",2034,90,36363
"GO",2035,25,1126335
"GO",2035,35,1236621
"GO",2035,45,1192981
"GO",2035,55,967240
"GO",2035,65,661521
"GO",2035,75,388060
"GO",2035,90,38264
"GO",2036,25,1126046
"GO",2036,35,1230648
"GO",2036,45,1200848
"GO",2036,55,988666
"GO",2036,65,679737
"GO",2036,75,405864
"GO",2036,90,40324
"GO",2037,25,1126319
"GO",2037,35,1225989
"GO",2037,45,1206273
"GO",2037,55,1010235
"GO",2037,65,697051
"GO",2037,75,424170
"GO",2037,90,42570
"GO",2038,25,1127622
"GO",2038,35,1221330
"GO",2038,45,1210022
"GO",2038,55,1031325
"GO",2038,65,713898
"GO",2038,75,442910
"GO",2038,90,44987
"GO",2039,25,1133840
"GO",2039,35,1214653
"GO",2039,45,1213177
"GO",2039,55,1051045
"GO",2039,65,731025
"GO",2039,75,461989
"GO",2039,90,47569
"GO",2040,25,1143697
"GO",2040,35,1206256
"GO",2040,45,1216405
"GO",2040,55,1068845
"GO",2040,65,748848
"GO",2040,75,481340
"GO",2040,90,50299
"GO",2041,25,1151568
"GO",2041,35,1196686
"GO",2041,45,1219443
"GO",2041,55,1084750
"GO",2041,65,767312
"GO",2041,75,500941
"GO",2041,90,53197
"GO",2042,25,1160651
"GO",2042,35,1184659
"GO",2042,45,1222184
"GO",2042,55,1098747
"GO",2042,65,786406
"GO",2042,75,520828
"GO",2042,90,56274
"GO",2043,25,1171745
"GO",2043,35,1173088
"GO",2043,45,1224195
"GO",2043,55,1110989
"GO",2043,65,805927
"GO",2043,75,540763
"GO",2043,90,59516
"GO",2044,25,1182035
"GO",2044,35,1163295
"GO",2044,45,1224705
"GO",2044,55,1121783
"GO",2044,65,825567
"GO",2044,75,560416
"GO",2044,90,62915
"GO",2045,25,1191346
"GO",2045,35,1156108
"GO",2045,45,1223190
"GO",2045,55,1131392
"GO",2045,65,845044
"GO",2045,75,579604
"GO",2045,90,66455
"GO",2046,25,1197358
"GO",2046,35,1156075
"GO",2046,45,1217696
"GO",2046,55,1139301
"GO",2046,65,864459
"GO",2046,75,598345
"GO",2046,90,70158
"GO",2047,25,1201869
"GO",2047,35,1156594
"GO",2047,45,1213468
"GO",2047,55,1144909
"GO",2047,65,883928
"GO",2047,75,616590
"GO",2047,90,74038
"GO",2048,25,1205124
"GO",2048,35,1158130
"GO",2048,45,1209230
"GO",2048,55,1148952
"GO",2048,65,902927
"GO",2048,75,634641
"GO",2048,90,78090
"GO",2049,25,1204434
"GO",2049,35,1164500
"GO",2049,45,1203021
"GO",2049,55,1152454
"GO",2049,65,920730
"GO",2049,75,653032
"GO",2049,90,82313
"GO",2050,25,1200292
"GO",2050,35,1174454
"GO",2050,45,1195141
"GO",2050,55,1156052
"GO",2050,65,936875
"GO",2050,75,672046
"GO",2050,90,86700
"GO",2051,25,1198007
"GO",2051,35,1182435
"GO",2051,45,1186138
"GO",2051,55,1159485
"GO",2051,65,951397
"GO",2051,75,691648
"GO",2051,90,91248
"GO",2052,25,1195789
"GO",2052,35,1191589
"GO",2052,45,1174757
"GO",2052,55,1162667
"GO",2052,65,964304
"GO",2052,75,711871
"GO",2052,90,95955
"GO",2053,25,1190699
"GO",2053,35,1202731
"GO",2053,45,1163831
"GO",2053,55,1165160
"GO",2053,65,975722
"GO",2053,75,732377
"GO",2053,90,100796
"GO",2054,25,1185380
"GO",2054,35,1213071
"GO",2054,45,1154639
"GO",2054,55,1166213
"GO",2054,65,985876
"GO",2054,75,752689
"GO",2054,90,105737
"GO",2055,25,1180015
"GO",2055,35,1222442
"GO",2055,45,1147986
"GO",2055,55,1165304
"GO",2055,65,994974
"GO",2055,75,772450
"GO",2055,90,110755
"GO",2056,25,1174724
"GO",2056,35,1228565
"GO",2056,45,1148275
"GO",2056,55,1160548
"GO",2056,65,1002577
"GO",2056,75,791788
"GO",2056,90,115857
"GO",2057,25,1169584
"GO",2057,35,1233202
"GO",2057,45,1149106
"GO",2057,55,1156972
"GO",2057,65,1008151
"GO",2057,75,810761
"GO",2057,90,121072
"GO",2058,25,1164666
"GO",2058,35,1236601
"GO",2058,45,1150929
"GO",2058,55,1153366
"GO",2058,65,1012366
"GO",2058,75,829281
"GO",2058,90,126313
"GO",2059,25,1160081
"GO",2059,35,1236112
"GO",2059,45,1157469
"GO",2059,55,1147886
"GO",2059,65,1016147
"GO",2059,75,847321
"GO",2059,90,131471
"GO",2060,25,1155900
"GO",2060,35,1232226
"GO",2060,45,1167500
"GO",2060,55,1140856
"GO",2060,65,1020060
"GO",2060,75,864808
"GO",2060,90,136491
"MA",2010,25,1110619
"MA",2010,35,769221
"MA",2010,45,569935
"MA",2010,55,393708
"MA",2010,65,246780
"MA",2010,75,138091
"MA",2010,90,16850
"MA",2011,25,1133240
"MA",2011,35,788096
"MA",2011,45,583386
"MA",2011,55,403280
"MA",2011,65,251131
"MA",2011,75,141831
"MA",2011,90,17621
"MA",2012,25,1152688
"MA",2012,35,808649
"MA",2012,45,597611
"MA",2012,55,413043
"MA",2012,65,255489
"MA",2012,75,146294
"MA",2012,90,18112
"MA",2013,25,1168491
"MA",2013,35,831119
"MA",2013,45,612213
"MA",2013,55,422988
"MA",2013,65,260143
"MA",2013,75,151141
"MA",2013,90,18469
"MA",2014,25,1180167
"MA",2014,35,855772
"MA",2014,45,626556
"MA",2014,55,433138
"MA",2014,65,265448
"MA",2014,75,156049
"MA",2014,90,18786
"MA",2015,25,1187469
"MA",2015,35,882621
"MA",2015,45,640337
"MA",2015,55,443517
"MA",2015,65,271607
"MA",2015,75,160835
"MA",2015,90,19107
"MA",2016,25,1191219
"MA",2016,35,911157
"MA",2016,45,653678
"MA",2016,55,454127
"MA",2016,65,278499
"MA",2016,75,165571
"MA",2016,90,19494
"MA",2017,25,1191988
"MA",2017,35,941021
"MA",2017,45,666506
"MA",2017,55,464961
"MA",2017,65,286069
"MA",2017,75,170317
"MA",2017,90,19981
"MA",2018,25,1190916
"MA",2018,35,971083
"MA",2018,45,679627
"MA",2018,55,476135
"MA",2018,65,294165
"MA",2018,75,175089
"MA",2018,90,20551
"MA",2019,25,1189839
"MA",2019,35,999690
"MA",2019,45,694217
"MA",2019,55,487850
"MA",2019,65,302546
"MA",2019,75,179911
"MA",2019,90,21197
"MA",2020,25,1189841
"MA",2020,35,1025696
"MA",2020,45,711072
"MA",2020,55,500198
"MA",2020,65,311058
"MA",2020,75,184838
"MA",2020,90,21887
"MA",2021,25,1191329
"MA",2021,35,1048907
"MA",2021,45,729841
"MA",2021,55,513181
"MA",2021,65,319730
"MA",2021,75,189895
"MA",2021,90,22672
"MA",2022,25,1195022
"MA",2022,35,1069078
"MA",2022,45,750252
"MA",2022,55,526880
"MA",2022,65,328583
"MA",2022,75,195123
"MA",2022,90,23568
"MA",2023,25,1200021
"MA",2023,35,1085747
"MA",2023,45,772524
"MA",2023,55,540935
"MA",2023,65,337606
"MA",2023,75,200600
"MA",2023,90,24562
"MA",2024,25,1204827
"MA",2024,35,1098424
"MA",2024,45,796877
"MA",2024,55,554779
"MA",2024,65,346835
"MA",2024,75,206423
"MA",2024,90,25645
"MA",2025,25,1208453
"MA",2025,35,1106885
"MA",2025,45,823322
"MA",2025,55,568131
"MA",2025,65,356280
"MA",2025,75,212672
"MA",2025,90,26793
"MA",2026,25,1204929
"MA",2026,35,1111895
"MA",2026,45,851370
"MA",2026,55,581105
"MA",2026,65,365968
"MA",2026,75,219313
"MA",2026,90,28034
"MA",2027,25,1196830
"MA",2027,35,1114014
"MA",2027,45,880670
"MA",2027,55,593636
"MA",2027,65,375884
"MA",2027,75,226366
"MA",2027,90,29386
"MA",2028,25,1197608
"MA",2028,35,1114340
"MA",2028,45,910156
"MA",2028,55,606472
"MA",2028,65,386122
"MA",2028,75,233767
"MA",2028,90,30787
"MA",2029,25,1199714
"MA",2029,35,1114655
"MA",2029,45,938273
"MA",2029,55,620701
"MA",2029,65,396817
"MA",2029,75,241444
"MA",2029,90,32155
"MA",2030,25,1199411
"MA",2030,35,1116014
"MA",2030,45,963940
"MA",2030,55,637055
"MA",2030,65,408049
"MA",2030,75,249314
"MA",2030,90,33459
"MA",2031,25,1197357
"MA",2031,35,1118794
"MA",2031,45,986962
"MA",2031,55,655210
"MA",2031,65,419817
"MA",2031,75,257415
"MA",2031,90,34746
"MA",2032,25,1189177
"MA",2032,35,1123673
"MA",2032,45,1007086
"MA",2032,55,674910
"MA",2032,65,432198
"MA",2032,75,265772
"MA",2032,90,36051
"MA",2033,25,1176994
"MA",2033,35,1129773
"MA",2033,45,1023854
"MA",2033,55,696345
"MA",2033,65,444886
"MA",2033,75,274404
"MA",2033,90,37388
"MA",2034,25,1159210
"MA",2034,35,1135616
"MA",2034,45,1036805
"MA",2034,55,719681
"MA",2034,65,457385
"MA",2034,75,283412
"MA",2034,90,38763
"MA",2035,25,1139188
"MA",2035,35,1140222
"MA",2035,45,1045716
"MA",2035,55,744910
"MA",2035,65,469475
"MA",2035,75,292821
"MA",2035,90,40182
"MA",2036,25,1127484
"MA",2036,35,1137773
"MA",2036,45,1051315
"MA",2036,55,771568
"MA",2036,65,481252
"MA",2036,75,302622
"MA",2036,90,41669
"MA",2037,25,1116532
"MA",2037,35,1130754
"MA",2037,45,1054120
"MA",2037,55,799335
"MA",2037,65,492667
"MA",2037,75,312811
"MA",2037,90,43242
"MA",2038,25,1092793
"MA",2038,35,1132291
"MA",2038,45,1055189
"MA",2038,55,827245
"MA",2038,65,504373
"MA",2038,75,323339
"MA",2038,90,44919
"MA",2039,25,1068260
"MA",2039,35,1135016
"MA",2039,45,1056246
"MA",2039,55,853886
"MA",2039,65,517335
"MA",2039,75,334144
"MA",2039,90,46737
"MA",2040,25,1045994
"MA",2040,35,1135262
"MA",2040,45,1058288
"MA",2040,55,878299
"MA",2040,65,532176
"MA",2040,75,345189
"MA",2040,90,48704
"MA",2041,25,1021457
"MA",2041,35,1133743
"MA",2041,45,1061689
"MA",2041,55,900288
"MA",2041,65,548626
"MA",2041,75,356527
"MA",2041,90,50816
"MA",2042,25,1000770
"MA",2042,35,1126243
"MA",2042,45,1067111
"MA",2042,55,919623
"MA",2042,65,566475
"MA",2042,75,368264
"MA",2042,90,53074
"MA",2043,25,984863
"MA",2043,35,1114828
"MA",2043,45,1073682
"MA",2043,55,935886
"MA",2043,65,585861
"MA",2043,75,380227
"MA",2043,90,55428
"MA",2044,25,974809
"MA",2044,35,1097910
"MA",2044,45,1079958
"MA",2044,55,948622
"MA",2044,65,606869
"MA",2044,75,392188
"MA",2044,90,57816
"MA",2045,25,968760
"MA",2045,35,1078756
"MA",2045,45,1084978
"MA",2045,55,957627
"MA",2045,65,629460
"MA",2045,75,404044
"MA",2045,90,60195
"MA",2046,25,961640
"MA",2046,35,1067679
"MA",2046,45,1083093
"MA",2046,55,963587
"MA",2046,65,653213
"MA",2046,75,415855
"MA",2046,90,62602
"MA",2047,25,958128
"MA",2047,35,1057278
"MA",2047,45,1076736
"MA",2047,55,966962
"MA",2047,65,677826
"MA",2047,75,427589
"MA",2047,90,65062
"MA",2048,25,957842
"MA",2048,35,1034398
"MA",2048,45,1078687
"MA",2048,55,968753
"MA",2048,65,702501
"MA",2048,75,439714
"MA",2048,90,67585
"MA",2049,25,954925
"MA",2049,35,1010752
"MA",2049,45,1081802
"MA",2049,55,970573
"MA",2049,65,726062
"MA",2049,75,452934
"MA",2049,90,70218
"MA",2050,25,949216
"MA",2050,35,989314
"MA",2050,45,1082534
"MA",2050,55,973346
"MA",2050,65,747742
"MA",2050,75,467689
"MA",2050,90,72969
"MA",2051,25,944457
"MA",2051,35,965646
"MA",2051,45,1081590
"MA",2051,55,977399
"MA",2051,65,767351
"MA",2051,75,483794
"MA",2051,90,75833
"MA",2052,25,938432
"MA",2052,35,945722
"MA",2052,45,1074893
"MA",2052,55,983349
"MA",2052,65,784672
"MA",2052,75,501158
"MA",2052,90,78820
"MA",2053,25,929350
"MA",2053,35,930475
"MA",2053,45,1064415
"MA",2053,55,990342
"MA",2053,65,799361
"MA",2053,75,519699
"MA",2053,90,81917
"MA",2054,25,919694
"MA",2054,35,920931
"MA",2054,45,1048547
