"disease","mean","lo_95","hi_95"
"Eye & Appendage Diseases",0.353908497469876,0.321864065335998,0.388487343289416
"Glaucoma",0.47165864086746,0.419133677865483,0.529386970081044
"Retinopathy",0.498489489335984,0.452068334461854,0.550845749588702
