"disease","mean","lo_95","hi_95"
"Eye & Appendage Diseases",8.80423909789264,8.22763258696495,9.38667621671142
"Glaucoma",17.5340569530818,14.9293072028653,20.4659653821718
"Retinopathy",31.0036931900851,27.9503194417251,34.2965416231442
