"disease","disease_label","scenario","phi_mean","beta_age_mean","sigma_rw_mean","looic","max_rhat","min_n_eff"
"glaucoma","Glaucoma","baseline",2.736,0.5931,0.4157,14080.1,1.0029,2564
"retina","Retinopathy","baseline",2.7,0.4945,0.4199,24942.6,1.0029,2035
"eye","Eye & Appendage Diseases","baseline",3.477,0.5406,0.3289,32482.9,1.0026,2664
"glaucoma","Glaucoma","exclude_2024",2.769,0.5917,0.4328,12996.2,1.0024,2271
"retina","Retinopathy","exclude_2024",2.746,0.49,0.4047,23000.8,1.0021,2265
"eye","Eye & Appendage Diseases","exclude_2024",3.501,0.54,0.3201,30099.4,1.0027,3128
"glaucoma","Glaucoma","missing_as_zero",2.719,0.5883,0.4173,14153.8,1.0029,2427
"retina","Retinopathy","missing_as_zero",2.7,0.4938,0.4215,24946.6,1.0022,2364
"eye","Eye & Appendage Diseases","missing_as_zero",3.474,0.5407,0.3291,32485,1.0028,2665
