"","looic","looic_se","waic","waic_se","log_ml","log_ml_se","max_rhat","min_n_eff"
"nb0",29357.1173272828,212.714210531458,29357.1149543934,212.714185898765,-14684.2174345348,4.33037605516019e-08,1.0013809893161,6652.09664439902
"nb1",26123.6778272247,222.387404633513,26123.5744131084,222.384478691981,-13348.7130656743,2.09867690084912e-05,1.00166241699444,4555.5392843546
"nb2",26121.4452892564,222.962821064627,26121.0767752342,222.949217298798,-13372.0983741467,7.59086858860345e-05,1.00290644407429,3721.98439684234
"nb3",26125.6453884627,222.406344088927,26125.4936201579,222.399264517467,-13340.5054728199,0.000938688323811831,1.01045961682249,400.997095689054
"nb4",26121.6902726177,222.946065830464,26121.4586703679,222.94021320048,-13028.3772105773,0.909122107989969,1.19007190518267,19.7038523039563
"nb5",24942.5672445041,222.024941914456,24936.0744919032,221.918617348893,-12583.397769684,0.477787000997034,1.00287605061212,2034.66753998635
"nb6",24920.4748959217,222.631563908342,24912.8005961766,222.514364300609,-12603.381931917,0.369266561009724,1.00251332477238,2329.99716209553
"nb7",24942.6610867767,222.057296968605,24935.9394942017,221.94624760447,-12574.8756198843,0.109268277635387,1.01146488813563,492.085996223769
"nb8",24924.0306032371,222.663307068418,24916.4118130585,222.553066452069,-12261.2490576117,0.39395149358099,1.26031877028936,18.7495297790264
